Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion 1,Chrome 111.0.0.0,,,2023-03-31 14:42:47,2023-03-31 14:44:53,"2m - 6,190s",PASSED
,,,,,,,
Test Cases/Bucles/Reto_Bucle_1 - Solucion 2,Chrome 111.0.0.0,,,2023-03-31 14:42:47,2023-03-31 14:44:32,"1m - 44,787s",PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-31 14:42:47,2023-03-31 14:42:54,"6,271s",PASSED
"navigateToUrl(""https://demoqa.com/text-box"")",Chrome 111.0.0.0,,,2023-03-31 14:42:54,2023-03-31 14:44:07,"1m - 12,911s",PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-31 14:44:07,2023-03-31 14:44:07,"0,171s",PASSED
waitForPageLoad(30),Chrome 111.0.0.0,,,2023-03-31 14:44:07,2023-03-31 14:44:07,"0,217s",PASSED
"for ([i = 1, i <= 3, (i++)])",Chrome 111.0.0.0,,,2023-03-31 14:44:07,2023-03-31 14:44:29,"21,893s",PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-31 14:44:29,2023-03-31 14:44:30,"0,713s",PASSED
Video,Chrome 111.0.0.0,,,2023-03-31 14:44:32,2023-03-31 14:44:32,"0,001s",PASSED
,,,,,,,
Test Cases/Bucles/Test_While,Chrome 111.0.0.0,,,2023-03-31 14:44:32,2023-03-31 14:44:53,"21,073s",PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-31 14:44:32,2023-03-31 14:44:33,"1,275s",PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 111.0.0.0,,,2023-03-31 14:44:33,2023-03-31 14:44:34,"0,937s",PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-31 14:44:34,2023-03-31 14:44:34,"0,144s",PASSED
waitForPageLoad(30),Chrome 111.0.0.0,,,2023-03-31 14:44:34,2023-03-31 14:44:34,"0,037s",PASSED
res = 0,Chrome 111.0.0.0,,,2023-03-31 14:44:34,2023-03-31 14:44:34,"0,002s",PASSED
while (res != 8),Chrome 111.0.0.0,,,2023-03-31 14:44:34,2023-03-31 14:44:50,"15,706s",PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-31 14:44:50,2023-03-31 14:44:51,"0,678s",PASSED
Video,Chrome 111.0.0.0,,,2023-03-31 14:44:53,2023-03-31 14:44:53,"0,000s",PASSED
